"","i","test","test.number","avg.pval","avg.stat","flag"
"71",0.06,"K-S Test for Benford Distribution","t5",0,20.2695254719662,0
"72",0.06,"Chebyshev Distance Test for Benford Distribution","t6",0,18.5911995663981,0
"73",0.06,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,98.5561341300555,0
"74",0.06,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0682448209812402,0
"75",0.06,"Mantissa Arc Test","t9",0,0.174848870126156,0
"76",0.06,"Mean Absolute Deviation","t10",NA,0.0590122699345346,0
"77",0.06,"Distortion Factor","t11",NA,2.82635284632251,1
"78",0.07,"Chi-Square Test for Benford Distribution","t1",0,3528.27439954934,0
"79",0.07,"Euclidean Distance Test for Benford Distribution","t2",0,23.422715435614,0
"80",0.07,"Joint Digits Test","t3",0,3528.27439954935,0
"81",0.07,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.167363662850002,0
"82",0.07,"K-S Test for Benford Distribution","t5",0,19.9581254719662,0
"83",0.07,"Chebyshev Distance Test for Benford Distribution","t6",0,18.3079995663981,0
"84",0.07,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,95.8643649164356,0
"85",0.07,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0663530137337364,0
"86",0.07,"Mantissa Arc Test","t9",0,0.170588978521605,0
"87",0.07,"Mean Absolute Deviation","t10",NA,0.0583091588234235,0
"88",0.07,"Distortion Factor","t11",NA,2.70462025648211,1
"89",0.08,"Chi-Square Test for Benford Distribution","t1",0,3480.34249611335,0
"90",0.08,"Euclidean Distance Test for Benford Distribution","t2",0,23.2266920110132,0
"91",0.08,"Joint Digits Test","t3",0,3480.34249611335,0
"92",0.08,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.173518876284636,0
"93",0.08,"K-S Test for Benford Distribution","t5",0,19.8959254719662,0
"94",0.08,"Chebyshev Distance Test for Benford Distribution","t6",0,18.1245995663981,0
"95",0.08,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,94.6646641566296,0
"96",0.08,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0665717280913105,0
"97",0.08,"Mantissa Arc Test","t9",0,0.167808617733224,0
"98",0.08,"Mean Absolute Deviation","t10",NA,0.058020714378979,0
"99",0.08,"Distortion Factor","t11",NA,2.83149861939067,1
"100",0.09,"Chi-Square Test for Benford Distribution","t1",0,3370.49264324341,0
"101",0.09,"Euclidean Distance Test for Benford Distribution","t2",0,22.8662056507706,0
"102",0.09,"Joint Digits Test","t3",0,3370.49264324342,0
"103",0.09,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.186482753168984,0
"104",0.09,"K-S Test for Benford Distribution","t5",0,19.5757254719662,0
"105",0.09,"Chebyshev Distance Test for Benford Distribution","t6",0,17.8611995663981,0
"106",0.09,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,91.7004346749508,0
"107",0.09,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0656871580168455,0
"108",0.09,"Mantissa Arc Test","t9",0,0.162129110006217,0
"109",0.09,"Mean Absolute Deviation","t10",NA,0.0571042699345346,0
"110",0.09,"Distortion Factor","t11",NA,2.65592204205854,1
"111",0.1,"Chi-Square Test for Benford Distribution","t1",0,3306.33104680792,0
"112",0.1,"Euclidean Distance Test for Benford Distribution","t2",0,22.6577772847056,0
"113",0.1,"Joint Digits Test","t3",0,3306.33104680793,0
"114",0.1,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.194934411268482,0
"115",0.1,"K-S Test for Benford Distribution","t5",0,19.4173254719662,0
"116",0.1,"Chebyshev Distance Test for Benford Distribution","t6",0,17.6743995663981,0
"117",0.1,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,89.8291434616232,0
"118",0.1,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0649248953133922,0
"119",0.1,"Mantissa Arc Test","t9",0,0.15942662375943,0
"120",0.1,"Mean Absolute Deviation","t10",NA,0.0565749366012012,0
"121",0.1,"Distortion Factor","t11",NA,2.59667631105132,1
"122",0.11,"Chi-Square Test for Benford Distribution","t1",0,3242.84981684328,0
"123",0.11,"Euclidean Distance Test for Benford Distribution","t2",0,22.418173736044,0
"124",0.11,"Joint Digits Test","t3",0,3242.84981684329,0
"125",0.11,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.204177397147999,0
"126",0.11,"K-S Test for Benford Distribution","t5",0,19.1999254719662,0
"127",0.11,"Chebyshev Distance Test for Benford Distribution","t6",0,17.4899995663981,0
"128",0.11,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,88.1702987751363,0
"129",0.11,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0643227113749398,0
"130",0.11,"Mantissa Arc Test","t9",0,0.156113343477867,0
"131",0.11,"Mean Absolute Deviation","t10",NA,0.0559211588234235,0
"132",0.11,"Distortion Factor","t11",NA,2.64585853952613,1
"133",0.12,"Chi-Square Test for Benford Distribution","t1",0,3170.73140453036,0
"134",0.12,"Euclidean Distance Test for Benford Distribution","t2",0,22.1971998739779,0
"135",0.12,"Joint Digits Test","t3",0,3170.73140453036,0
"136",0.12,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.212172534266397,0
"137",0.12,"K-S Test for Benford Distribution","t5",0,19.0241254719662,0
"138",0.12,"Chebyshev Distance Test for Benford Distribution","t6",0,17.3509995663981,0
"139",0.12,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,86.3173025378943,0
"140",0.12,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0642090374654112,0
"141",0.12,"Mantissa Arc Test","t9",0,0.153045803893567,0
