"","i","test","test.number","avg.pval","avg.stat","flag"
"347",0.31,"Chebyshev Distance Test for Benford Distribution","t6",0,13.5642674967725,0
"348",0.31,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,52.7801150013299,0
"349",0.31,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0496788577512942,0
"350",0.31,"Mantissa Arc Test","t9",0,0.0938582563644599,0
"351",0.31,"Mean Absolute Deviation","t10",NA,0.0432927764740774,0
"352",0.31,"Distortion Factor","t11",NA,1.95359807434173,1
"353",0.32,"Chi-Square Test for Benford Distribution","t1",0,1897.65269948185,0
"354",0.32,"Euclidean Distance Test for Benford Distribution","t2",0,17.1496756866612,0
"355",0.32,"Joint Digits Test","t3",0,1897.65269948186,0
"356",0.32,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.464289818948405,0
"357",0.32,"K-S Test for Benford Distribution","t5",0,14.6540869820867,0
"358",0.32,"Chebyshev Distance Test for Benford Distribution","t6",0,13.3850585361004,0
"359",0.32,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,51.5238003258932,0
"360",0.32,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0491338159909919,0
"361",0.32,"Mantissa Arc Test","t9",0,0.0912815437936547,0
"362",0.32,"Mean Absolute Deviation","t10",NA,0.0427856762183497,0
"363",0.32,"Distortion Factor","t11",NA,2.01524275731937,1
"364",0.33,"Chi-Square Test for Benford Distribution","t1",0,1850.26354668607,0
"365",0.33,"Euclidean Distance Test for Benford Distribution","t2",0,16.9104174803658,0
"366",0.33,"Joint Digits Test","t3",0,1850.26354668608,0
"367",0.33,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.477754935406788,0
"368",0.33,"K-S Test for Benford Distribution","t5",0,14.5462815916824,0
"369",0.33,"Chebyshev Distance Test for Benford Distribution","t6",0,13.1590472352529,0
"370",0.33,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,50.259745156578,0
"371",0.33,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0488780241153648,0
"372",0.33,"Mantissa Arc Test","t9",0,0.0888374383882019,0
"373",0.33,"Mean Absolute Deviation","t10",NA,0.042271970200788,0
"374",0.33,"Distortion Factor","t11",NA,1.97574666288844,1
"375",0.34,"Chi-Square Test for Benford Distribution","t1",0,1791.66360351672,0
"376",0.34,"Euclidean Distance Test for Benford Distribution","t2",0,16.6883353897045,0
"377",0.34,"Joint Digits Test","t3",0,1791.66360351672,0
"378",0.34,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.490601599312788,0
"379",0.34,"K-S Test for Benford Distribution","t5",0,14.2786682106788,0
"380",0.34,"Chebyshev Distance Test for Benford Distribution","t6",0,13.0186402147263,0
"381",0.34,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,48.6521093515443,0
"382",0.34,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0474346528002936,0
"383",0.34,"Mantissa Arc Test","t9",0,0.0865513685911929,0
"384",0.34,"Mean Absolute Deviation","t10",NA,0.0416140650670879,0
"385",0.34,"Distortion Factor","t11",NA,1.96857042326794,1
"386",0.35,"Chi-Square Test for Benford Distribution","t1",0,1747.38697560688,0
"387",0.35,"Euclidean Distance Test for Benford Distribution","t2",0,16.4733788581115,0
"388",0.35,"Joint Digits Test","t3",0,1747.38697560688,0
"389",0.35,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.50260397049487,0
"390",0.35,"K-S Test for Benford Distribution","t5",0,14.0908588199745,0
"391",0.35,"Chebyshev Distance Test for Benford Distribution","t6",0,12.8616323641375,0
"392",0.35,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,47.4282015479985,0
"393",0.35,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0474245794212253,0
"394",0.35,"Mantissa Arc Test","t9",0,0.0843004605512897,0
"395",0.35,"Mean Absolute Deviation","t10",NA,0.0409877802163806,0
"396",0.35,"Distortion Factor","t11",NA,1.96821347951806,1
"397",0.36,"Chi-Square Test for Benford Distribution","t1",0,1678.38999792439,0
"398",0.36,"Euclidean Distance Test for Benford Distribution","t2",0,16.0803903567936,0
"399",0.36,"Joint Digits Test","t3",0,1678.3899979244,0
"400",0.36,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.525159133387978,0
"401",0.36,"K-S Test for Benford Distribution","t5",0,13.7623254719662,0
"402",0.36,"Chebyshev Distance Test for Benford Distribution","t6",0,12.4899995663981,0
"403",0.36,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,45.4853400934264,0
"404",0.36,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.77635683940025e-17,0.0452211778433841,0
"405",0.36,"Mantissa Arc Test","t9",4.94065645841247e-324,0.0806685864729377,0
"406",0.36,"Mean Absolute Deviation","t10",NA,0.0402745279479671,0
"407",0.36,"Distortion Factor","t11",NA,1.78049100912513,1
"408",0.37,"Chi-Square Test for Benford Distribution","t1",0,1615.58032726303,0
"409",0.37,"Euclidean Distance Test for Benford Distribution","t2",0,15.8237230075574,0
"410",0.37,"Joint Digits Test","t3",0,1615.58032726304,0
"411",0.37,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.539600079302674,0
"412",0.37,"K-S Test for Benford Distribution","t5",0,13.4767254719662,0
"413",0.37,"Chebyshev Distance Test for Benford Distribution","t6",0,12.3257995663981,0
"414",0.37,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,43.7275070160875,0
"415",0.37,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",4.44089209850063e-18,0.0444456052201443,0
"416",0.37,"Mantissa Arc Test","t9",7.44281563905983e-311,0.0777726421908515,0
"417",0.37,"Mean Absolute Deviation","t10",NA,0.0394549366012012,0
"418",0.37,"Distortion Factor","t11",NA,1.74496612290049,1
"419",0.38,"Chi-Square Test for Benford Distribution","t1",0,1581.394210809,0
"420",0.38,"Euclidean Distance Test for Benford Distribution","t2",0,15.6526814444084,0
"421",0.38,"Joint Digits Test","t3",0,1581.39421080901,0
"422",0.38,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.549248949894662,0
"423",0.38,"K-S Test for Benford Distribution","t5",0,13.3537254719662,0
"424",0.38,"Chebyshev Distance Test for Benford Distribution","t6",0,12.2095995663981,0
"425",0.38,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,42.8621545431142,0
"426",0.38,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",4.44089209850063e-18,0.0447402220932581,0
"427",0.38,"Mantissa Arc Test","t9",1.51954977880738e-296,0.075946691719595,0
"428",0.38,"Mean Absolute Deviation","t10",NA,0.0389744921567568,0
"429",0.38,"Distortion Factor","t11",NA,1.79908996060423,1
"430",0.39,"Chi-Square Test for Benford Distribution","t1",0,1534.29786488302,0
"431",0.39,"Euclidean Distance Test for Benford Distribution","t2",0,15.4213366302975,0
"432",0.39,"Joint Digits Test","t3",0,1534.29786488302,0
"433",0.39,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.562306564888031,0
"434",0.39,"K-S Test for Benford Distribution","t5",0,13.1647254719662,0
"435",0.39,"Chebyshev Distance Test for Benford Distribution","t6",0,12.0217995663981,0
"436",0.39,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,41.5964402919334,0
"437",0.39,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",8.88178419700125e-18,0.0435646324212972,0
"438",0.39,"Mantissa Arc Test","t9",4.92285467645773e-284,0.073694232862378,0
"439",0.39,"Mean Absolute Deviation","t10",NA,0.0385096748502885,0
"440",0.39,"Distortion Factor","t11",NA,1.77413827517038,1
"441",0.4,"Chi-Square Test for Benford Distribution","t1",0,1489.77213892758,0
"442",0.4,"Euclidean Distance Test for Benford Distribution","t2",0,15.2282087136867,0
"443",0.4,"Joint Digits Test","t3",0,1489.77213892758,0
"444",0.4,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.573264132825073,0
"445",0.4,"K-S Test for Benford Distribution","t5",0,13.0413429538549,0
"446",0.4,"Chebyshev Distance Test for Benford Distribution","t6",0,11.8723995663981,0
"447",0.4,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,40.3981669694193,0
"448",0.4,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",5.32907051820075e-17,0.0434977230948025,0
"449",0.4,"Mantissa Arc Test","t9",7.82755725819934e-276,0.0719921034079314,0
"450",0.4,"Mean Absolute Deviation","t10",NA,0.0378643445743863,0
"451",0.4,"Distortion Factor","t11",NA,1.7885424624035,1
"452",0.41,"Chi-Square Test for Benford Distribution","t1",0,1430.34368953601,0
"453",0.41,"Euclidean Distance Test for Benford Distribution","t2",0,14.8638205855093,0
"454",0.41,"Joint Digits Test","t3",0,1430.34368953601,0
"455",0.41,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.593804545848678,0
"456",0.41,"K-S Test for Benford Distribution","t5",0,12.7735429538549,0
"457",0.41,"Chebyshev Distance Test for Benford Distribution","t6",0,11.5619995663981,0
"458",0.41,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,38.803111931263,0
"459",0.41,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",5.28332932958619e-14,0.0430969865909578,0
"460",0.41,"Mantissa Arc Test","t9",1.26338365809563e-276,0.0686294172975557,0
"461",0.41,"Mean Absolute Deviation","t10",NA,0.0371666383790291,0
"462",0.41,"Distortion Factor","t11",NA,1.77691727564601,1
"463",0.42,"Chi-Square Test for Benford Distribution","t1",0,1401.37573416778,0
"464",0.42,"Euclidean Distance Test for Benford Distribution","t2",0,14.7418789956794,0
"465",0.42,"Joint Digits Test","t3",0,1401.37573416778,0
"466",0.42,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.600632228020446,0
"467",0.42,"K-S Test for Benford Distribution","t5",0,12.6297254719662,0
"468",0.42,"Chebyshev Distance Test for Benford Distribution","t6",0,11.5021995663981,0
"469",0.42,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,38.0310362416334,0
"470",0.42,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.54365409343882e-14,0.0427027251832255,0
"471",0.42,"Mantissa Arc Test","t9",7.28228473358116e-256,0.0674086014249351,0
"472",0.42,"Mean Absolute Deviation","t10",NA,0.036701230405844,0
"473",0.42,"Distortion Factor","t11",NA,1.77370428844617,1
"474",0.43,"Chi-Square Test for Benford Distribution","t1",0,1341.04765593373,0
"475",0.43,"Euclidean Distance Test for Benford Distribution","t2",0,14.4113785433092,0
"476",0.43,"Joint Digits Test","t3",0,1341.04765593373,0
"477",0.43,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.619049905368224,0
"478",0.43,"K-S Test for Benford Distribution","t5",0,12.3845254719662,0
"479",0.43,"Chebyshev Distance Test for Benford Distribution","t6",0,11.2273995663981,0
"480",0.43,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,36.396693934934,0
"481",0.43,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.22044604925031e-17,0.0418555667751876,0
"482",0.43,"Mantissa Arc Test","t9",7.47005143109639e-260,0.0644128048586004,0
"483",0.43,"Mean Absolute Deviation","t10",NA,0.0360408217526099,0
"484",0.43,"Distortion Factor","t11",NA,1.79026035938038,1
"485",0.44,"Chi-Square Test for Benford Distribution","t1",0,1291.5462041073,0
"486",0.44,"Euclidean Distance Test for Benford Distribution","t2",0,14.1204211762178,0
"487",0.44,"Joint Digits Test","t3",0,1291.5462041073,0
"488",0.44,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.634815166917066,0
"489",0.44,"K-S Test for Benford Distribution","t5",0,12.1397254719662,0
"490",0.44,"Chebyshev Distance Test for Benford Distribution","t6",0,10.9745995663981,0
"491",0.44,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,35.0430635433514,0
"492",0.44,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.36211050719248e-14,0.0404965160467089,0
"493",0.44,"Mantissa Arc Test","t9",3.61486702648771e-245,0.0621109189480251,0
"494",0.44,"Mean Absolute Deviation","t10",NA,0.0352954526280663,0
"495",0.44,"Distortion Factor","t11",NA,1.66590969489909,1
"496",0.45,"Chi-Square Test for Benford Distribution","t1",0,1243.08848333236,0
"497",0.45,"Euclidean Distance Test for Benford Distribution","t2",0,13.9281562183491,0
"498",0.45,"Joint Digits Test","t3",0,1243.08848333236,0
"499",0.45,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.645265292162742,0
"500",0.45,"K-S Test for Benford Distribution","t5",0,11.8989429538549,0
"501",0.45,"Chebyshev Distance Test for Benford Distribution","t6",0,10.8877995663981,0
"502",0.45,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,33.7093609297153,0
"503",0.45,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",3.5793590313915e-15,0.0397655496411322,0
"504",0.45,"Mantissa Arc Test","t9",1.55604203860917e-234,0.0600072339514247,0
"505",0.45,"Mean Absolute Deviation","t10",NA,0.0346185667966085,0
"506",0.45,"Distortion Factor","t11",NA,1.55624861542559,1
"507",0.46,"Chi-Square Test for Benford Distribution","t1",0,1216.17019960801,0
"508",0.46,"Euclidean Distance Test for Benford Distribution","t2",0,13.7435264086805,0
"509",0.46,"Joint Digits Test","t3",0,1216.17019960802,0
"510",0.46,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.655547727373045,0
"511",0.46,"K-S Test for Benford Distribution","t5",0,11.7431254719662,0
"512",0.46,"Chebyshev Distance Test for Benford Distribution","t6",0,10.7407995663981,0
"513",0.46,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,32.9969058920021,0
"514",0.46,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",3.26227933555856e-14,0.0397921694807054,0
"515",0.46,"Mantissa Arc Test","t9",3.12199350655571e-232,0.0581989948040292,0
"516",0.46,"Mean Absolute Deviation","t10",NA,0.0341622266683638,0
"517",0.46,"Distortion Factor","t11",NA,1.74683275651854,1
"518",0.47,"Chi-Square Test for Benford Distribution","t1",0,1150.42142750858,0
"519",0.47,"Euclidean Distance Test for Benford Distribution","t2",0,13.3331533428839,0
"520",0.47,"Joint Digits Test","t3",0,1150.42142750858,0
"521",0.47,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.677271018951987,0
"522",0.47,"K-S Test for Benford Distribution","t5",0,11.4689429538549,0
"523",0.47,"Chebyshev Distance Test for Benford Distribution","t6",0,10.3749995663981,0
"524",0.47,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,31.2120358342507,0
"525",0.47,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.27796440096972e-12,0.0385172950016878,0
"526",0.47,"Mantissa Arc Test","t9",1.90219568399561e-218,0.0553423538621822,0
"527",0.47,"Mean Absolute Deviation","t10",NA,0.033396043294783,0
"528",0.47,"Distortion Factor","t11",NA,1.61155305375782,1
"529",0.48,"Chi-Square Test for Benford Distribution","t1",0,1091.58751885756,0
"530",0.48,"Euclidean Distance Test for Benford Distribution","t2",0,13.030403242284,0
"531",0.48,"Joint Digits Test","t3",0,1091.58751885756,0
"532",0.48,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.693012992777119,0
"533",0.48,"K-S Test for Benford Distribution","t5",0,11.1857254719662,0
"534",0.48,"Chebyshev Distance Test for Benford Distribution","t6",0,10.1657995663981,0
"535",0.48,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,29.6617207532382,0
"536",0.48,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",3.23329563123309e-10,0.0376910007922343,0
"537",0.48,"Mantissa Arc Test","t9",8.62568579224104e-199,0.0526194703629735,0
"538",0.48,"Mean Absolute Deviation","t10",NA,0.0323875600016971,0
"539",0.48,"Distortion Factor","t11",NA,1.53570859609541,1
"540",0.49,"Chi-Square Test for Benford Distribution","t1",0,1067.53900584249,0
"541",0.49,"Euclidean Distance Test for Benford Distribution","t2",0,12.8504472573525,0
"542",0.49,"Joint Digits Test","t3",0,1067.53900584249,0
"543",0.49,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.701858508407215,0
"544",0.49,"K-S Test for Benford Distribution","t5",0,10.9383429538549,0
"545",0.49,"Chebyshev Distance Test for Benford Distribution","t6",0,10.0195995663981,0
"546",0.49,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,28.8846001556665,0
"547",0.49,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.56820334495933e-12,0.0365373545015431,0
"548",0.49,"Mantissa Arc Test","t9",2.40313377382666e-196,0.0510509960079574,0
"549",0.49,"Mean Absolute Deviation","t10",NA,0.031925340836906,0
"550",0.49,"Distortion Factor","t11",NA,1.46247853426242,1
"551",0.5,"Chi-Square Test for Benford Distribution","t1",0,1028.71634376548,0
"552",0.5,"Euclidean Distance Test for Benford Distribution","t2",0,12.6761202755299,0
"553",0.5,"Joint Digits Test","t3",0,1028.71634376549,0
"554",0.5,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.711265488516165,0
"555",0.5,"K-S Test for Benford Distribution","t5",0,10.8205254719662,0
"556",0.5,"Chebyshev Distance Test for Benford Distribution","t6",0,9.92199956639812,0
"557",0.5,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,27.888934406961,0
"558",0.5,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.31050148510781e-11,0.0368794554128145,0
"559",0.5,"Mantissa Arc Test","t9",3.28167621113618e-187,0.0495010600550974,0
"560",0.5,"Mean Absolute Deviation","t10",NA,0.0313550081836218,0
"561",0.5,"Distortion Factor","t11",NA,1.483736221106,1
"562",0.51,"Chi-Square Test for Benford Distribution","t1",0,989.228731155391,0
"563",0.51,"Euclidean Distance Test for Benford Distribution","t2",0,12.3688583386728,0
"564",0.51,"Joint Digits Test","t3",0,989.228731155393,0
"565",0.51,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.726355275484929,0
"566",0.51,"K-S Test for Benford Distribution","t5",0,10.6229254719662,0
"567",0.51,"Chebyshev Distance Test for Benford Distribution","t6",0,9.62679956639812,0
"568",0.51,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,26.8447114537572,0
"569",0.51,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.31128449712514e-12,0.0356319202284937,0
"570",0.51,"Mantissa Arc Test","t9",1.6518328499543e-180,0.0476064647698378,0
"571",0.51,"Mean Absolute Deviation","t10",NA,0.0308578180151296,0
"572",0.51,"Distortion Factor","t11",NA,1.51401907884114,1
"573",0.52,"Chi-Square Test for Benford Distribution","t1",0,953.039913545195,0
"574",0.52,"Euclidean Distance Test for Benford Distribution","t2",0,12.1450167681211,0
"575",0.52,"Joint Digits Test","t3",0,953.039913545197,0
"576",0.52,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.736944491400636,0
"577",0.52,"K-S Test for Benford Distribution","t5",0,10.3657254719662,0
"578",0.52,"Chebyshev Distance Test for Benford Distribution","t6",0,9.45819956639812,0
"579",0.52,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,25.7575873558527,0
"580",0.52,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",7.20825799049862e-11,0.0343581249321615,0
"581",0.52,"Mantissa Arc Test","t9",8.99223256307695e-170,0.0458840631785253,0
"582",0.52,"Mean Absolute Deviation","t10",NA,0.0303265995303876,0
"583",0.52,"Distortion Factor","t11",NA,1.34462610276862,1
"584",0.53,"Chi-Square Test for Benford Distribution","t1",0,897.937070262196,0
"585",0.53,"Euclidean Distance Test for Benford Distribution","t2",0,11.8149446916376,0
"586",0.53,"Joint Digits Test","t3",0,897.937070262198,0
"587",0.53,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.752953314952537,0
"588",0.53,"K-S Test for Benford Distribution","t5",0,10.0551254719662,0
"589",0.53,"Chebyshev Distance Test for Benford Distribution","t6",0,9.23519956639812,0
"590",0.53,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,24.3043370984909,0
"591",0.53,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.12929442241949e-09,0.0338631398071253,0
"592",0.53,"Mantissa Arc Test","t9",2.22778123932316e-164,0.0430699159923317,0
"593",0.53,"Mean Absolute Deviation","t10",NA,0.0293204846817963,0
"594",0.53,"Distortion Factor","t11",NA,1.40058679379514,1
"595",0.54,"Chi-Square Test for Benford Distribution","t1",0,870.332825936596,0
"596",0.54,"Euclidean Distance Test for Benford Distribution","t2",0,11.6187728589234,0
"597",0.54,"Joint Digits Test","t3",0,870.332825936598,0
"598",0.54,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.761731592670398,0
"599",0.54,"K-S Test for Benford Distribution","t5",0,9.92092547196624,0
"600",0.54,"Chebyshev Distance Test for Benford Distribution","t6",0,9.04739956639812,0
"601",0.54,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,23.5462720585963,0
"602",0.54,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.94999483227321e-11,0.0328792849256036,0
"603",0.54,"Mantissa Arc Test","t9",1.51553064569276e-156,0.0420072473701314,0
"604",0.54,"Mean Absolute Deviation","t10",NA,0.0289270797660424,0
"605",0.54,"Distortion Factor","t11",NA,1.31044700095685,1
"606",0.55,"Chi-Square Test for Benford Distribution","t1",0,833.696321563607,0
"607",0.55,"Euclidean Distance Test for Benford Distribution","t2",0,11.3872073278821,0
"608",0.55,"Joint Digits Test","t3",0,833.696321563608,0
"609",0.55,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.773656872747685,0
"610",0.55,"K-S Test for Benford Distribution","t5",0,9.74792547196624,0
"611",0.55,"Chebyshev Distance Test for Benford Distribution","t6",0,8.91819956639812,0
"612",0.55,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,22.610639632736,0
"613",0.55,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.10221204888228e-10,0.0335591700174047,0
"614",0.55,"Mantissa Arc Test","t9",1.64304707125473e-152,0.0400799347305755,0
"615",0.55,"Mean Absolute Deviation","t10",NA,0.0282688575438202,0
"616",0.55,"Distortion Factor","t11",NA,1.43452011564481,1
"617",0.56,"Chi-Square Test for Benford Distribution","t1",0,799.405555251632,0
"618",0.56,"Euclidean Distance Test for Benford Distribution","t2",0,11.0930365715456,0
"619",0.56,"Joint Digits Test","t3",0,799.405555251633,0
"620",0.56,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.785506371014358,0
"621",0.56,"K-S Test for Benford Distribution","t5",0,9.48862870271556,0
"622",0.56,"Chebyshev Distance Test for Benford Distribution","t6",0,8.61201987820095,0
"623",0.56,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,21.5805026264652,0
"624",0.56,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.46759627810411e-07,0.0314240960618547,0
"625",0.56,"Mantissa Arc Test","t9",8.79314267760949e-131,0.0381634166167725,0
"626",0.56,"Mean Absolute Deviation","t10",NA,0.0277364791256851,0
"627",0.56,"Distortion Factor","t11",NA,1.22465779605454,1
"628",0.57,"Chi-Square Test for Benford Distribution","t1",0,756.41179020065,0
"629",0.57,"Euclidean Distance Test for Benford Distribution","t2",0,10.8007081032117,0
"630",0.57,"Joint Digits Test","t3",0,756.411790200652,0
"631",0.57,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.798432100150703,0
"632",0.57,"K-S Test for Benford Distribution","t5",0,9.28041829193475,0
"633",0.57,"Chebyshev Distance Test for Benford Distribution","t6",0,8.37880821732638,0
"634",0.57,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,20.4483158069083,0
"635",0.57,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.18039534383152e-08,0.0308362424405121,0
"636",0.57,"Mantissa Arc Test","t9",1.60769317955753e-138,0.0362297527405402,0
"637",0.57,"Mean Absolute Deviation","t10",NA,0.0270169747505099,0
"638",0.57,"Distortion Factor","t11",NA,1.25712706362891,1
"639",0.58,"Chi-Square Test for Benford Distribution","t1",0,732.960019605654,0
"640",0.58,"Euclidean Distance Test for Benford Distribution","t2",0,10.6261865804106,0
"641",0.58,"Joint Digits Test","t3",0,732.960019605655,0
"642",0.58,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.806003228382029,0
"643",0.58,"K-S Test for Benford Distribution","t5",0,9.08074295385488,0
"644",0.58,"Chebyshev Distance Test for Benford Distribution","t6",0,8.26659956639812,0
"645",0.58,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,19.8242884193444,0
"646",0.58,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.49043072386712e-09,0.0303791783710968,0
"647",0.58,"Mantissa Arc Test","t9",2.19551197815409e-134,0.0350192555984949,0
"648",0.58,"Mean Absolute Deviation","t10",NA,0.0265507457526599,0
"649",0.58,"Distortion Factor","t11",NA,1.25153696444912,1
"650",0.59,"Chi-Square Test for Benford Distribution","t1",0,685.210340062973,0
"651",0.59,"Euclidean Distance Test for Benford Distribution","t2",0,10.2668864770402,0
"652",0.59,"Joint Digits Test","t3",0,685.210340062975,0
"653",0.59,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.820210835796695,0
"654",0.59,"K-S Test for Benford Distribution","t5",0,8.77932547196624,0
"655",0.59,"Chebyshev Distance Test for Benford Distribution","t6",0,7.95779956639812,0
"656",0.59,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,18.4780401866871,0
"657",0.59,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",1.32250831370806e-05,0.0287053660260435,0
"658",0.59,"Mantissa Arc Test","t9",2.38494625269182e-126,0.0327044691973348,0
"659",0.59,"Mean Absolute Deviation","t10",NA,0.0257649291262407,0
"660",0.59,"Distortion Factor","t11",NA,1.09643808805793,1
"661",0.6,"Chi-Square Test for Benford Distribution","t1",0,661.404265432591,0
"662",0.6,"Euclidean Distance Test for Benford Distribution","t2",0,10.0770274476104,0
"663",0.6,"Joint Digits Test","t3",0,661.404265432592,0
"664",0.6,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.827783855503761,0
"665",0.6,"K-S Test for Benford Distribution","t5",0,8.59834295385488,0
"666",0.6,"Chebyshev Distance Test for Benford Distribution","t6",0,7.81119956639812,0
"667",0.6,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,17.829256742828,0
"668",0.6,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.66937829596081e-07,0.0282301659169063,0
"669",0.6,"Mantissa Arc Test","t9",3.43609026169088e-113,0.0315532158000371,0
"670",0.6,"Mean Absolute Deviation","t10",NA,0.0251819284461916,0
"671",0.6,"Distortion Factor","t11",NA,1.10264413103503,1
"672",0.61,"Chi-Square Test for Benford Distribution","t1",0,630.344096881719,0
"673",0.61,"Euclidean Distance Test for Benford Distribution","t2",0,9.88266096377197,0
"674",0.61,"Joint Digits Test","t3",0,630.34409688172,0
"675",0.61,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.835961840275328,0
"676",0.61,"K-S Test for Benford Distribution","t5",0,8.47157791763216,0
"677",0.61,"Chebyshev Distance Test for Benford Distribution","t6",0,7.68759956639812,0
"678",0.61,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,17.0253979953899,0
"679",0.61,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",2.63863298381128e-06,0.0284028351465701,0
"680",0.61,"Mantissa Arc Test","t9",3.61126095108707e-110,0.0301560501320424,0
"681",0.61,"Mean Absolute Deviation","t10",NA,0.0246365296453,0
"682",0.61,"Distortion Factor","t11",NA,1.204515534814,1
"683",0.62,"Chi-Square Test for Benford Distribution","t1",0,603.168565020214,0
