"","dataset","num.vertices","num.edges","measure","chi.sq","chi.sq.pval","mad","mat","mat.pval","df","pcc"
"2","citations.csv",27770,352807,"degree",120.466587490859,2.65567932862664e-22,0.00604651686143126,0.000102080291013722,0.0587320513570675,-8.71190670528923,0.99826126422774
"3","citations.csv",27770,352807,"betweenness",28.9318348050357,0.000325951222488724,0.00340703945152337,0.000408191866771352,3.11007627716066e-05,-0.378619439062572,0.998626807334082
"4","citations.csv",27770,352807,"clustering coefficient",5282.4098799914,0,0.044760144824253,0.104172148856523,0,-90.2829182400189,0.800787220781762
"5","citations.csv",27770,352807,"closeness",563077.06768065,0,0.209093061954388,0.991725259361365,0,-75.6996773274711,-1
