model,param,measure,tr.stats.chisq.statistic,tr.stats.chisq.p.value,tr.MAD,tr.stats.mantissa.arc.test.statistic,tr.stats.mantissa.arc.test.p.value,tr.distortion.factor,chi,ks,f,chd,ed,js,jj,jd
forest.fire,0.25,betweenness,3962.6654555745,0,0.0482401852,0.0172670062,4.15337370933882E-31,25.98934101,0,0,0,0,0,0,0,0
forest.fire,0.25,closeness,15539.8698531287,0,0.1217328811,0.7734648922,0,-88.6257106669,0,0,0,0,0,0,0,0
forest.fire,0.25,clustering,1776.8712999415,0,0.0496182787,0.026204215,5.48652997413769E-59,-85.2776860956,0,0,0,0,0,0,0,0
forest.fire,0.25,degree,789.9082660464,6.54115475155597E-142,0.0255400661,0.004922488,3.07797883350289E-16,-27.2921908955,0,0,0,0,0,0,3,0
preferential.attachment,1,betweenness,11031.2483597157,0,0.0767597518,0.0601634924,7.7409878861122E-88,54.914832928,0,0,0,0,0,0,0,0
preferential.attachment,1,closeness,18605.7795024184,0,0.1140159525,0.7832993057,0,-85.1919992424,0,0,0,0,0,11,0,0
preferential.attachment,1,clustering,7.4701109221,0.5489359907,0.1189621199,0.2467992684,0.4599137256,-90.066937787,0,0,0,0,0,0,0,0
preferential.attachment,1,degree,5653.2542012967,0,0.0747406101,0.2065515475,0,-53.8645335756,0,0,0,0,0,0,0,0
preferential.attachment,1.2222222222,betweenness,11705.7608336669,0,0.0854870637,0.0800583092,6.71234854251177E-101,60.5288874385,0,0,0,0,0,0,0,0
preferential.attachment,1.2222222222,closeness,15329.9295767224,0,0.1274672879,0.6821892596,0,-93.2089156037,0,0,0,0,0,15,0,0
preferential.attachment,1.2222222222,clustering,7.8730059034,0.5433951142,0.1168975841,0.24328847,0.4831942899,-89.9764348636,0,0,0,0,0,0,0,0
preferential.attachment,1.2222222222,degree,7341.555484227,0,0.0834112379,0.2846435304,0,-57.663765796,0,0,0,0,0,0,0,0
preferential.attachment,1.4444444444,betweenness,7751.2546492776,0,0.1407814586,0.3296628526,5.27339015739941E-100,99.2904412218,0,0,0,0,0,0,0,0
preferential.attachment,1.4444444444,closeness,54892.8864140362,0,0.1581165436,0.769729821,0,-90.1717451035,0,0,0,0,0,0,0,0
preferential.attachment,1.4444444444,clustering,8.8288169056,0.459253388,0.1245260927,0.209373034,0.5323983503,-89.0725785608,0,0,0,0,0,0,0,0
preferential.attachment,1.4444444444,degree,18124.0037582138,0,0.1366475565,0.7797132403,0,-71.3168209683,0,0,0,0,0,0,0,0
preferential.attachment,1.6666666667,betweenness,1919.9319451043,4.37114835604266E-294,0.167116796,0.5393145322,1.40654607803889E-24,120.2761680204,0,0,0,0,0,0,0,0
preferential.attachment,1.6666666667,closeness,84187.116623739,0,0.1913757028,0.9523850808,0,-87.7788047446,0,0,0,0,0,0,0,0
preferential.attachment,1.6666666667,clustering,8.8782245552,0.4513046823,0.1250174215,0.2111017886,0.5282754049,-88.3145757197,0,0,0,0,0,0,0,0
preferential.attachment,1.6666666667,degree,22256.4210223445,0,0.1520497787,0.9601776409,0,-73.9475694485,0,0,0,0,0,0,0,0
preferential.attachment,1.8888888889,betweenness,465.4858088705,6.02123384300095E-50,0.1621501475,0.4992999051,1.27865873298183E-05,117.3151680839,0,0,0,0,0,0,0,0
preferential.attachment,1.8888888889,closeness,89319.0034995524,0,0.1970935166,0.9841352673,0,-87.4506284848,0,0,0,0,0,0,0,0
preferential.attachment,1.8888888889,clustering,9.0847120969,0.4639257611,0.1250411078,0.2733966757,0.4551943028,-88.0258560968,0,0,0,0,0,0,0,0
preferential.attachment,1.8888888889,degree,22971.7455987591,0,0.1544951121,0.9900230499,0,-74.299018314,0,0,0,0,0,0,0,0
preferential.attachment,2.1111111111,betweenness,122.1301934606,0.0019395543,0.1423950226,0.3508610486,0.0737470322,100.2273699093,0,0,0,0,0,0,0,0
preferential.attachment,2.1111111111,closeness,92102.2204870239,0,0.1994993304,0.9939146739,0,-87.3016604068,0,0,0,0,0,0,0,0
preferential.attachment,2.1111111111,clustering,8.376668427,0.4912211487,0.1221615437,0.2203270601,0.5147995376,-87.6660061068,0,0,0,0,0,0,0,0
preferential.attachment,2.1111111111,degree,23131.637756566,0,0.1550331121,0.9966724665,0,-74.3717517949,0,0,0,0,0,0,0,0
preferential.attachment,2.3333333333,betweenness,44.0015566051,0.0519304829,0.1376650427,0.2302824976,0.3654537635,82.0894938978,0,0,0,0,0,0,0,0
preferential.attachment,2.3333333333,closeness,93675.3272766277,0,0.1999431835,0.9958207039,0,-87.2880761041,0,0,0,0,0,0,0,0
preferential.attachment,2.3333333333,clustering,9.1995066966,0.4790070109,0.1252195826,0.2922378357,0.4544181961,-86.4396023103,0,0,0,0,0,0,0,0
preferential.attachment,2.3333333333,degree,23171.214328646,0,0.1551657787,0.9982768965,0,-74.3904868884,0,0,0,0,0,0,0,0
preferential.attachment,2.5555555556,betweenness,26.2622884988,0.1516708671,0.1453529635,0.2744325025,0.3927093199,71.1267902036,0,0,0,0,0,0,0,0
preferential.attachment,2.5555555556,closeness,95960.8209894389,0,0.2007400032,0.9976287745,0,-87.2652361685,0,0,0,0,0,0,0,0
preferential.attachment,2.5555555556,clustering,9.3980807185,0.4749633163,0.1270979414,0.346504709,0.3695089985,-85.7825193018,0,0,0,0,0,0,0,0
preferential.attachment,2.5555555556,degree,23185.349373367,0,0.1552131121,0.9988051427,0,-74.3987933757,0,0,0,0,0,0,0,0
preferential.attachment,2.7777777778,betweenness,18.2146739109,0.1779008037,0.1509556651,0.3033488403,0.4699953505,65.703989562,0,0,0,0,0,0,0,0
preferential.attachment,2.7777777778,closeness,99144.4644430364,0,0.2014499453,0.9985571515,0,-87.2561436255,0,0,0,0,0,0,0,0
preferential.attachment,2.7777777778,clustering,8.7756432972,0.4790666979,0.1251036474,0.351630902,0.3617266704,-84.8539465516,0,0,0,0,0,0,0,0
preferential.attachment,2.7777777778,degree,23189.0002470203,0,0.1552253343,0.9989438984,0,-74.400105763,0,0,0,0,0,0,0,0
preferential.attachment,3,betweenness,16.7093987648,0.2762448279,0.1574447271,0.3389493396,0.4564699779,54.2638068245,0,0,0,0,0,0,0,0
preferential.attachment,3,closeness,102678.14699519,0,0.2021164598,0.998905659,0,-87.2528628509,0,0,0,0,0,21,0,0
preferential.attachment,3,clustering,7.9295286448,0.5135063479,0.1244755147,0.3737218788,0.3253885103,-83.6825985244,0,0,0,0,0,0,0,0
preferential.attachment,3,degree,23191.1907947411,0,0.1552326676,0.9989697651,0,-74.4029751846,0,0,0,0,0,0,0,0
random.graph,0.0001,betweenness,47.332601714,0.0042594798,0.011261197,0.0026728194,0.0763725932,-9.8738364936,0,0,0,0,0,0,0,0
random.graph,0.0001,closeness,23219.2809488736,0,0.1553266676,0.9991737336,0,-97.4780178677,0,0,0,0,0,0,0,0
random.graph,0.0001,clustering,2.9655697032,0.9134131638,0.1530704362,0.9069285148,0.3720391772,-75.9217784148,0,0,0,0,0,0,0,0
random.graph,0.0001,degree,4355.331376424,0,0.0880534279,0.2132112654,0,-59.5878788287,0,0,0,0,0,0,0,0
