"","dataset","num.vertices","num.edges","measure","chi.sq","chi.sq.pval","mad","mat","mat.pval","df","pcc"
"2","amazon.csv",262111,1234877,"degree",212648.552002403,0,0.083343595479121,0.358567390555874,0,24.4304825468402,0.535432966166673
"3","amazon.csv",262111,1234877,"betweenness",142.273124334041,7.98640408095722e-27,0.00221055525863783,0.000223957186130474,1.92516071397844e-24,-3.03342474025911,0.999201663250039
"4","amazon.csv",262111,1234877,"clustering coefficient",40983.2625605666,0,0.0400603836337623,0.0900404020395851,0,-91.8429529485347,NA
"5","amazon.csv",262111,1234877,"closeness",1051575.21075162,0,0.15316727714299,0.890609138737717,0,-88.8114237601969,-0.2218714401561
