"dataset" "measure" "chi" "ks" "f" "chd" "ed" "js" "jj" "jd" "mat" "mad" "df"
"pinterest" "boards" "0" "0" "0" "0" "0" "NaN" "0" "0" "0" "0.0275209442554703" "-17.0203870598696"
"pinterest" "pins" "0" "0" "0" "0" "0" "NaN" "0" "0" "0" "0.00786539019166374" "-8.42695531127013"
"pinterest" "likes" "0" "0" "0" "0" "0" "NaN" "0" "0" "0" "0.016575678584292" "-17.1598497701527"
"pinterest" "followers" "0" "0" "0" "0" "0" "NaN" "0" "0" "0" "0.00982563064320457" "-11.269243009228"
"pinterest" "followed" "0" "0" "0" "0" "0" "NaN" "0" "0" "0" "0.0558814187257939" "13.0140358080693"
