"","i","test","test.number","pval","statistic"
"2242",0.2,"Mean Absolute Deviation","t9",NA,0.0160224949245258
"2243",0.2,"Distortion Factor","t10",NA,-52.4212353129622
"2244",0.2,"Mantissa Arc Test","t11",4.36049913987873e-35,0.0132127407685971
"2245",0.2,"Chi-Square Test for Benford Distribution","t1",0,286.837873863776
"2246",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,7.01686552741489
"2247",0.2,"Joint Digits Test","t3",0,286.837873863776
"2248",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.93523801473584
"2249",0.2,"K-S Test for Benford Distribution","t5",0,4.85700043360188
"2250",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.85700043360188
"2251",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.56452891559576
"2252",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00650906088420022,0.0120442242737359
"2253",0.2,"Mean Absolute Deviation","t9",NA,0.0155514812472742
"2254",0.2,"Distortion Factor","t10",NA,-52.9624505513514
"2255",0.2,"Mantissa Arc Test","t11",2.03392173526729e-33,0.0125042096761053
"2256",0.2,"Chi-Square Test for Benford Distribution","t1",0,281.868058623187
"2257",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.94837274393635
"2258",0.2,"Joint Digits Test","t3",0,281.868058623187
"2259",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.935390455062051
"2260",0.2,"K-S Test for Benford Distribution","t5",0,4.75700043360188
"2261",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.75700043360188
