"","i","test","test.number","pval","statistic"
"2536",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.50700043360188
"2537",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.19788422727184
"2538",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00162328613342089,0.0139507803512734
"2539",0.2,"Mean Absolute Deviation","t9",NA,0.0148660442792152
"2540",0.2,"Distortion Factor","t10",NA,-52.0426017774381
"2541",0.2,"Mantissa Arc Test","t11",7.52449381489376e-34,0.0126630797975343
"2542",0.2,"Chi-Square Test for Benford Distribution","t1",0,286.233110220143
"2543",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,7.22711794565429
"2544",0.2,"Joint Digits Test","t3",0,286.233110220144
"2545",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.933856160495506
"2546",0.2,"K-S Test for Benford Distribution","t5",0,5.13700043360188
"2547",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,5.13700043360188
"2548",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.48277306246376
"2549",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.039528981466866,0.00911244464506956
"2550",0.2,"Mean Absolute Deviation","t9",NA,0.015691458312561
"2551",0.2,"Distortion Factor","t10",NA,-53.8595338601226
"2552",0.2,"Mantissa Arc Test","t11",6.71104673030751e-34,0.0127116222711608
"2553",0.2,"Chi-Square Test for Benford Distribution","t1",0,278.274161399731
"2554",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.92602935407708
"2555",0.2,"Joint Digits Test","t3",0,278.274161399731
"2556",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.936768332263616
"2557",0.2,"K-S Test for Benford Distribution","t5",0,4.81700043360188
"2558",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.81700043360188
"2559",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.47534819517579
"2560",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00533654120308746,0.0123320063231755
"2561",0.2,"Mean Absolute Deviation","t9",NA,0.0135452422331119
"2562",0.2,"Distortion Factor","t10",NA,-52.8763691837464
"2563",0.2,"Mantissa Arc Test","t11",1.09589527953162e-25,0.00955972316845691
"2564",0.2,"Chi-Square Test for Benford Distribution","t1",0,274.009575533916
"2565",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.74560094552054
"2566",0.2,"Joint Digits Test","t3",0,274.009575533916
"2567",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.93783128432727
"2568",0.2,"K-S Test for Benford Distribution","t5",0,4.53700043360188
"2569",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.53700043360188
"2570",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.42116798545211
"2571",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00147207186793619,0.0140766849979033
"2572",0.2,"Mean Absolute Deviation","t9",NA,0.0157538747154783
"2573",0.2,"Distortion Factor","t10",NA,-52.9706560999105
"2574",0.2,"Mantissa Arc Test","t11",4.34960117938752e-35,0.01318233823672
"2575",0.2,"Chi-Square Test for Benford Distribution","t1",0,286.643708849335
"2576",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.79131457409535
"2577",0.2,"Joint Digits Test","t3",0,286.643708849335
"2578",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.934685145890677
"2579",0.2,"K-S Test for Benford Distribution","t5",0,4.39700043360188
"2580",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.39700043360188
"2581",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.43763859903407
"2582",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000150864361632141,0.0167746417113999
"2583",0.2,"Mean Absolute Deviation","t9",NA,0.0152901925070437
"2584",0.2,"Distortion Factor","t10",NA,-52.5011904071878
"2585",0.2,"Mantissa Arc Test","t11",7.88339508285731e-35,0.013007407585826
"2586",0.2,"Chi-Square Test for Benford Distribution","t1",0,281.784364611587
"2587",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.78170949951652
"2588",0.2,"Joint Digits Test","t3",0,281.784364611587
"2589",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.936669243100752
"2590",0.2,"K-S Test for Benford Distribution","t5",0,4.51700043360188
"2591",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.51700043360188
"2592",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.49147224946419
"2593",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.000685050454564573,0.0150299630366721
"2594",0.2,"Mean Absolute Deviation","t9",NA,0.0152549513653652
"2595",0.2,"Distortion Factor","t10",NA,-53.3212907301872
"2596",0.2,"Mantissa Arc Test","t11",2.68769633568417e-34,0.0128810546102106
"2597",0.2,"Chi-Square Test for Benford Distribution","t1",0,271.37103861326
"2598",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.78234608322945
"2599",0.2,"Joint Digits Test","t3",0,271.37103861326
"2600",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.936455525554401
"2601",0.2,"K-S Test for Benford Distribution","t5",0,4.51700043360188
"2602",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.51700043360188
"2603",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.13558374543023
"2604",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00213756521127162,0.0135910527894739
"2605",0.2,"Mean Absolute Deviation","t9",NA,0.0144471569741823
"2606",0.2,"Distortion Factor","t10",NA,-52.7137329232051
"2607",0.2,"Mantissa Arc Test","t11",1.85352543455759e-28,0.0106799286064343
"2608",0.2,"Chi-Square Test for Benford Distribution","t1",0,293.428657715518
"2609",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,7.2151183511889
"2610",0.2,"Joint Digits Test","t3",0,293.428657715518
"2611",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.933016132848643
"2612",0.2,"K-S Test for Benford Distribution","t5",0,5.04700043360188
"2613",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,5.04700043360188
"2614",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.55335084284995
"2615",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0244732767365987,0.00995780441529851
"2616",0.2,"Mean Absolute Deviation","t9",NA,0.0151523774820434
"2617",0.2,"Distortion Factor","t10",NA,-52.8161960672681
"2618",0.2,"Mantissa Arc Test","t11",7.12583068777318e-31,0.0115655467470341
"2619",0.2,"Chi-Square Test for Benford Distribution","t1",0,268.919364693404
"2620",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.87854387650023
"2621",0.2,"Joint Digits Test","t3",0,268.919364693404
"2622",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.938753762137468
"2623",0.2,"K-S Test for Benford Distribution","t5",0,4.85700043360188
"2624",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.85700043360188
"2625",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.2423778856573
"2626",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.0187128891251835,0.0104074638675479
"2627",0.2,"Mean Absolute Deviation","t9",NA,0.0151312201284625
"2628",0.2,"Distortion Factor","t10",NA,-53.0871884182771
"2629",0.2,"Mantissa Arc Test","t11",1.08614339869943e-32,0.0121733525835285
"2630",0.2,"Chi-Square Test for Benford Distribution","t1",0,293.700624056572
"2631",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,7.07190737172881
"2632",0.2,"Joint Digits Test","t3",0,293.700624056572
"2633",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.933641079352326
"2634",0.2,"K-S Test for Benford Distribution","t5",0,4.85700043360188
"2635",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.85700043360188
"2636",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.79380163442588
"2637",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00228761352771856,0.013501120899024
"2638",0.2,"Mean Absolute Deviation","t9",NA,0.0162670311194924
"2639",0.2,"Distortion Factor","t10",NA,-52.813451663627
"2640",0.2,"Mantissa Arc Test","t11",1.03215414234904e-37,0.0141444943401648
"2641",0.2,"Chi-Square Test for Benford Distribution","t1",0,271.211617812269
"2642",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.91397452925807
"2643",0.2,"Joint Digits Test","t3",0,271.211617812268
"2644",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.9360223729353
"2645",0.2,"K-S Test for Benford Distribution","t5",0,4.74700043360188
"2646",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.74700043360188
"2647",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.12114030412957
"2648",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00635080037218505,0.0120801970299158
"2649",0.2,"Mean Absolute Deviation","t9",NA,0.0141455379011275
"2650",0.2,"Distortion Factor","t10",NA,-52.3910253113196
"2651",0.2,"Mantissa Arc Test","t11",1.57273207682185e-29,0.0110261269182876
"2652",0.2,"Chi-Square Test for Benford Distribution","t1",0,290.442742746797
"2653",0.2,"Euclidean Distance Test for Benford Distribution","t2",0,6.93035370292594
"2654",0.2,"Joint Digits Test","t3",0,290.442742746797
"2655",0.2,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.936333133669548
"2656",0.2,"K-S Test for Benford Distribution","t5",0,4.76700043360188
"2657",0.2,"Chebyshev Distance Test for Benford Distribution","t6",0,4.76700043360188
"2658",0.2,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,5.87028786316843
"2659",0.2,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.00216683272752971,0.0135730664113839
"2660",0.2,"Mean Absolute Deviation","t9",NA,0.0163440438108476
"2661",0.2,"Distortion Factor","t10",NA,-52.2941391844812
"2662",0.2,"Mantissa Arc Test","t11",3.01885962264657e-33,0.0124365435836446
"2663",0.2,"Chi-Square Test for Benford Distribution","t1",0,265.279836735461
